grid,k_index,k1_index,k2_index,k3_index,k1_fraction,k2_fraction,k3_fraction,phase_rad,phase_per_area_A2
6,186,5,0,5,0.833333333333,0.0,0.833333333333,2.8383006240899974e-06,2.6659914410405732e-05
6,187,5,1,0,0.833333333333,0.166666666667,0.0,-1.8455027178676637e-07,-1.733464879827437e-06
6,188,5,1,1,0.833333333333,0.166666666667,0.166666666667,-1.2153032512670018e-06,-1.1415239240858772e-05
6,189,5,1,2,0.833333333333,0.166666666667,0.333333333333,2.5780884572474656e-06,2.4215763837457773e-05
6,190,5,1,3,0.833333333333,0.166666666667,0.5,4.402098102110681e-06,4.134853004378546e-05
6,191,5,1,4,0.833333333333,0.166666666667,0.666666666667,3.5270686787881214e-07,3.3129453694237213e-06
6,192,5,1,5,0.833333333333,0.166666666667,0.833333333333,2.145938017839038e-07,2.015661181202997e-06
6,193,5,2,0,0.833333333333,0.333333333333,0.0,1.910830850577802e-06,1.7948270347683823e-05
6,194,5,2,1,0.833333333333,0.333333333333,0.166666666667,3.692396549023821e-06,3.468236420439558e-05
6,195,5,2,2,0.833333333333,0.333333333333,0.333333333333,2.505257764187485e-06,2.3531671381940615e-05
6,196,5,2,3,0.833333333333,0.333333333333,0.5,2.3594531906035105e-07,2.21621415233335e-06
6,197,5,2,4,0.833333333333,0.333333333333,0.666666666667,1.3916906357329725e-06,1.3072030819955786e-05
6,198,5,2,5,0.833333333333,0.333333333333,0.833333333333,3.5220226399169208e-06,3.3082056683759885e-05
6,199,5,3,0,0.833333333333,0.5,0.0,-2.8517071106220838e-06,-2.6785840388949414e-05
6,200,5,3,1,0.833333333333,0.5,0.166666666667,-3.5444199020869648e-06,-3.3292432247015184e-05
6,201,5,3,2,0.833333333333,0.5,0.333333333333,1.0711146573585233e-06,1.0060888140791896e-05
6,202,5,3,3,0.833333333333,0.5,0.5,-1.5402246020818613e-06,-1.4467197630789669e-05
6,203,5,3,4,0.833333333333,0.5,0.666666666667,4.9654600708937144e-08,4.664014071474767e-07
6,204,5,3,5,0.833333333333,0.5,0.833333333333,-2.080131703526113e-06,-1.9538498743824125e-05
6,205,5,4,0,0.833333333333,0.666666666667,0.0,-1.9821131028176717e-06,-1.8617818431338693e-05
6,206,5,4,1,0.833333333333,0.666666666667,0.166666666667,6.882562859911725e-07,6.46473228424537e-06
6,207,5,4,2,0.833333333333,0.666666666667,0.333333333333,3.549511699563265e-07,3.3340259064146933e-06
6,208,5,4,3,0.833333333333,0.666666666667,0.5,-4.956594969185637e-07,-4.655687157448433e-06
6,209,5,4,4,0.833333333333,0.666666666667,0.666666666667,-2.86906972402083e-07,-2.6948925927959205e-06
6,210,5,4,5,0.833333333333,0.666666666667,0.833333333333,-1.6862113411683313e-06,-1.5838438554343126e-05
6,211,5,5,0,0.833333333333,0.833333333333,0.0,-3.2569923108747417e-06,-3.05926495263727e-05
6,212,5,5,1,0.833333333333,0.833333333333,0.166666666667,-2.2623576543553833e-06,-2.125013147618162e-05
6,213,5,5,2,0.833333333333,0.833333333333,0.333333333333,-6.946146470288364e-06,-6.524455824315735e-05
6,214,5,5,3,0.833333333333,0.833333333333,0.5,-3.2617676654691624e-06,-3.06375040226463e-05
6,215,5,5,4,0.833333333333,0.833333333333,0.666666666667,5.316864208071679e-07,4.994084964639252e-06
6,216,5,5,5,0.833333333333,0.833333333333,0.833333333333,-5.595860639307241e-07,-5.256143920424934e-06
