x_A,z_A,delta_n_e_A3
2.8472222222,0.0694444444,-1.042887401966e-07
2.9166666667,0.0694444444,-1.349904320948e-07
2.9861111111,0.0694444444,-1.693203234974e-07
3.0555555556,0.0694444444,-2.000253243390e-07
3.1250000000,0.0694444444,-2.258675873130e-07
3.1944444444,0.0694444444,-2.460708229020e-07
3.2638888889,0.0694444444,-2.573677834000e-07
3.3333333333,0.0694444444,-2.588042182120e-07
3.4027777778,0.0694444444,-2.565181979361e-07
3.4722222222,0.0694444444,-2.602432298385e-07
3.5416666667,0.0694444444,-2.751197292395e-07
3.6111111111,0.0694444444,-2.984730079347e-07
3.6805555556,0.0694444444,-3.239500076130e-07
3.7500000000,0.0694444444,-3.471404066588e-07
3.8194444444,0.0694444444,-3.682248322200e-07
3.8888888889,0.0694444444,-3.921434458617e-07
3.9583333333,0.0694444444,-4.264162997520e-07
4.0277777778,0.0694444444,-4.754151269430e-07
4.0972222222,0.0694444444,-5.346147000240e-07
4.1666666667,0.0694444444,-5.923533219000e-07
4.2361111111,0.0694444444,-6.393488996500e-07
4.3055555556,0.0694444444,-6.749503689100e-07
4.3750000000,0.0694444444,-7.019910367300e-07
4.4444444444,0.0694444444,-7.182249953600e-07
4.5138888889,0.0694444444,-7.182332595800e-07
4.5833333333,0.0694444444,-7.042816304500e-07
4.6527777778,0.0694444444,-6.895548869760e-07
4.7222222222,0.0694444444,-6.864205901990e-07
4.7916666667,0.0694444444,-6.941299361700e-07
4.8611111111,0.0694444444,-7.023278325000e-07
4.9305555556,0.0694444444,-7.048676169200e-07
5.0000000000,0.0694444444,-7.046575948400e-07
5.0694444444,0.0694444444,-7.048712683100e-07
5.1388888889,0.0694444444,-7.023345055000e-07
5.2083333333,0.0694444444,-6.941385394100e-07
5.2777777778,0.0694444444,-6.864298541980e-07
5.3472222222,0.0694444444,-6.895636700710e-07
5.4166666667,0.0694444444,-7.042891514500e-07
5.4861111111,0.0694444444,-7.182391969000e-07
5.5555555556,0.0694444444,-7.182294408200e-07
5.6250000000,0.0694444444,-7.019943388300e-07
5.6944444444,0.0694444444,-6.749529375900e-07
5.7638888889,0.0694444444,-6.393510483400e-07
5.8333333333,0.0694444444,-5.923551924600e-07
5.9027777778,0.0694444444,-5.346162811360e-07
5.9722222222,0.0694444444,-4.754163373910e-07
6.0416666667,0.0694444444,-4.264170854950e-07
6.1111111111,0.0694444444,-3.921438448326e-07
6.1805555556,0.0694444444,-3.682249806113e-07
6.2500000000,0.0694444444,-3.471404913136e-07
