cell,ik,band,energy_eV,native_weight,even_weight,odd_weight,norm,native_minus_even
primitive,33,4,5.327329658340147,1.0,1.0000000000000004,0.0,1.0000000000000004,-4.440892098500626e-16
primitive,33,5,8.134951272389621,1.0,0.9999999999999978,0.0,0.9999999999999978,2.220446049250313e-15
primitive,33,6,9.771690841909376,1.0,1.0000000000000022,0.0,1.0000000000000022,-2.220446049250313e-15
primitive,33,7,9.771690842008285,1.0,0.9999999999999982,0.0,0.9999999999999982,1.7763568394002505e-15
primitive,33,8,13.739115575284726,1.0,1.0000000000000917,0.0,1.0000000000000917,-9.170442183403793e-14
primitive,34,1,-5.0076392915555,1.0,1.0000000000000002,0.0,1.0000000000000002,-2.220446049250313e-16
primitive,34,2,2.2763800471118034,1.0,0.9999999999999992,0.0,0.9999999999999992,7.771561172376096e-16
primitive,34,3,5.459777506164104,1.0,0.9999999999999993,0.0,0.9999999999999993,6.661338147750939e-16
primitive,34,4,5.459777506165796,1.0,0.9999999999999981,0.0,0.9999999999999981,1.887379141862766e-15
primitive,34,5,8.278313860717441,1.0,0.9999999999999973,0.0,0.9999999999999973,2.6645352591003757e-15
primitive,34,6,9.746242775708325,1.0,1.0000000000000024,0.0,1.0000000000000024,-2.4424906541753444e-15
primitive,34,7,9.74624277581823,1.0,0.9999999999999997,0.0,0.9999999999999997,3.3306690738754696e-16
primitive,34,8,13.14975804420219,1.0,1.0000000000000053,0.0,1.0000000000000053,-5.329070518200751e-15
primitive,35,1,-5.251210987037722,1.0,1.0,0.0,1.0,0.0
primitive,35,2,3.0487372556952557,1.0,1.0,0.0,1.0,0.0
primitive,35,3,5.610371462692317,1.0,0.9999999999999993,0.0,0.9999999999999993,6.661338147750939e-16
primitive,35,4,5.610371462034226,1.0,0.9999999999999996,0.0,0.9999999999999996,4.440892098500626e-16
primitive,35,5,8.437365339505122,1.0,1.0,0.0,1.0,0.0
primitive,35,6,9.638455932731434,1.0,1.000000000000002,0.0,1.000000000000002,-1.9984014443252818e-15
primitive,35,7,9.63845593279952,1.0,0.9999999999999991,0.0,0.9999999999999991,8.881784197001252e-16
primitive,35,8,12.451210877101126,1.0,1.0000000000000024,0.0,1.0000000000000024,-2.4424906541753444e-15
primitive,36,1,-5.4540567497054395,1.0,0.9999999999999998,0.0,0.9999999999999998,2.220446049250313e-16
primitive,36,2,3.8401923297698537,1.0,1.0000000000000009,0.0,1.0000000000000009,-8.881784197001252e-16
primitive,36,3,5.772842699006974,1.0,0.9999999999999997,0.0,0.9999999999999997,3.3306690738754696e-16
primitive,36,4,5.772842699000911,1.0,0.9999999999999982,0.0,0.9999999999999982,1.7763568394002505e-15
