segment,distance_A_minus1,q1,q2,q3,f1_cm_minus1,f2_cm_minus1,f3_cm_minus1
2.000000000000000000e+00,4.908767584427207731e-01,5.000000000000000000e-01,4.062500000000000000e-01,5.937500000000000000e-01,1.672310326459677583e+02,1.997994478588659604e+02,3.194763474661393161e+02
2.000000000000000000e+00,4.953452535291904546e-01,5.000000000000000000e-01,4.124999999999999778e-01,5.875000000000000222e-01,1.654329235531598101e+02,1.949196410395667840e+02,3.209661056545747329e+02
2.000000000000000000e+00,4.998137486156601361e-01,5.000000000000000000e-01,4.187500000000000111e-01,5.812500000000000444e-01,1.637315752279876051e+02,1.901134410429391721e+02,3.223681609204795677e+02
2.000000000000000000e+00,5.042822437021299287e-01,5.000000000000000000e-01,4.250000000000000444e-01,5.749999999999999556e-01,1.621325515323875948e+02,1.854173416990270198e+02,3.236791350204595688e+02
2.000000000000000000e+00,5.087507387885995547e-01,5.000000000000000000e-01,4.312500000000000222e-01,5.687499999999999778e-01,1.606410785350254002e+02,1.808699798851892524e+02,3.248959653446969469e+02
2.000000000000000000e+00,5.132192338750691807e-01,5.000000000000000000e-01,4.375000000000000000e-01,5.625000000000000000e-01,1.592620413386457585e+02,1.765119450873223457e+02,3.260158853551132552e+02
2.000000000000000000e+00,5.176877289615388067e-01,5.000000000000000000e-01,4.437499999999999778e-01,5.562500000000000222e-01,1.579999760526936825e+02,1.723854530029621515e+02,3.270364085948586990e+02
2.000000000000000000e+00,5.221562240480085437e-01,5.000000000000000000e-01,4.500000000000000111e-01,5.500000000000000444e-01,1.568590579678319443e+02,1.685338510101207135e+02,3.279553156316977720e+02
2.000000000000000000e+00,5.266247191344782808e-01,5.000000000000000000e-01,4.562500000000000444e-01,5.437499999999999556e-01,1.558430869480376089e+02,1.650009271333875063e+02,3.287706434193548830e+02
2.000000000000000000e+00,5.310932142209479068e-01,5.000000000000000000e-01,4.625000000000000222e-01,5.374999999999999778e-01,1.549554710261094499e+02,1.618300046367694733e+02,3.294806766597080241e+02
2.000000000000000000e+00,5.355617093074175328e-01,5.000000000000000000e-01,4.687500000000000000e-01,5.312500000000000000e-01,1.541992091594809722e+02,1.590628232821676704e+02,3.300839408293999782e+02
2.000000000000000000e+00,5.400302043938871588e-01,5.000000000000000000e-01,4.749999999999999778e-01,5.250000000000000222e-01,1.535768740661204106e+02,1.567382360056332971e+02,3.305791966007117821e+02
2.000000000000000000e+00,5.444986994803568958e-01,5.000000000000000000e-01,4.812500000000000111e-01,5.187500000000000444e-01,1.530905960075911310e+02,1.548907842392962095e+02,3.309654354414232102e+02
2.000000000000000000e+00,5.489671945668266329e-01,5.000000000000000000e-01,4.875000000000000444e-01,5.124999999999999556e-01,1.527420483125675332e+02,1.535492510613282207e+02,3.312418762243670471e+02
2.000000000000000000e+00,5.534356896532962589e-01,5.000000000000000000e-01,4.937500000000000222e-01,5.062499999999999778e-01,1.525324353361793897e+02,1.527353204429478239e+02,3.314079627164697399e+02
2.000000000000000000e+00,5.579041847397658849e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,1.524624834279795493e+02,1.524624834279797199e+02,3.314633618509559483e+02
3.000000000000000000e+00,5.579041847397658849e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,1.524624834279795493e+02,1.524624834279797199e+02,3.314633618509559483e+02
3.000000000000000000e+00,5.633769511797581675e-01,4.874999999999999889e-01,4.874999999999999889e-01,4.874999999999999889e-01,1.523449403786071628e+02,1.523449403786073617e+02,3.312078156114407648e+02
3.000000000000000000e+00,5.688497176197504501e-01,4.749999999999999778e-01,4.749999999999999778e-01,4.749999999999999778e-01,1.519924924733525700e+02,1.519924924733527405e+02,3.304415709266739896e+02
3.000000000000000000e+00,5.743224840597427328e-01,4.625000000000000222e-01,4.625000000000000222e-01,4.625000000000000222e-01,1.514056831613395957e+02,1.514056831613397947e+02,3.291658092904211230e+02
3.000000000000000000e+00,5.797952504997350154e-01,4.500000000000000111e-01,4.500000000000000111e-01,4.500000000000000111e-01,1.505854172599948129e+02,1.505854172599949266e+02,3.273824978346563626e+02
