# ik band kdist_A-1 k1 k2 k3 energy_eV E-Ef_eV occupation charge mx my mz
2 29 0.018741886 0.010204080 0.000000000 0.000000000 -14.545453160 -13.057353160 1.000000000 0.714000000 0.286000000 -0.649000000 -0.069000000
2 30 0.018741886 0.010204080 0.000000000 0.000000000 -14.544375110 -13.056275110 1.000000000 0.714000000 -0.286000000 0.650000000 0.069000000
2 31 0.018741886 0.010204080 0.000000000 0.000000000 -13.018121580 -11.530021580 1.000000000 0.662000000 0.391000000 0.502000000 -0.177000000
2 32 0.018741886 0.010204080 0.000000000 0.000000000 -13.017192970 -11.529092970 1.000000000 0.662000000 -0.391000000 -0.502000000 0.177000000
2 33 0.018741886 0.010204080 0.000000000 0.000000000 -8.295862780 -6.807762780 1.000000000 0.654000000 0.112000000 -0.626000000 -0.152000000
2 34 0.018741886 0.010204080 0.000000000 0.000000000 -8.295482180 -6.807382180 1.000000000 0.654000000 -0.112000000 0.626000000 0.152000000
2 35 0.018741886 0.010204080 0.000000000 0.000000000 -4.476621280 -2.988521280 1.000000000 0.467000000 -0.207000000 0.407000000 -0.003000000
2 36 0.018741886 0.010204080 0.000000000 0.000000000 -4.468616080 -2.980516080 1.000000000 0.466000000 0.207000000 -0.407000000 0.003000000
2 37 0.018741886 0.010204080 0.000000000 0.000000000 -3.568268140 -2.080168140 1.000000000 0.461000000 0.233000000 -0.253000000 0.001000000
2 38 0.018741886 0.010204080 0.000000000 0.000000000 -3.557312220 -2.069212220 1.000000000 0.451000000 -0.231000000 0.251000000 -0.001000000
2 39 0.018741886 0.010204080 0.000000000 0.000000000 -3.282280710 -1.794180710 1.000000000 0.575000000 -0.050000000 0.093000000 -0.004000000
2 40 0.018741886 0.010204080 0.000000000 0.000000000 -3.272039670 -1.783939670 1.000000000 0.569000000 0.041000000 -0.082000000 0.004000000
2 41 0.018741886 0.010204080 0.000000000 0.000000000 -3.104635400 -1.616535400 1.000000000 0.598000000 -0.007000000 0.011000000 -0.015000000
2 42 0.018741886 0.010204080 0.000000000 0.000000000 -3.099857120 -1.611757120 1.000000000 0.597000000 0.001000000 -0.000000000 0.014000000
2 43 0.018741886 0.010204080 0.000000000 0.000000000 -3.059808400 -1.571708400 1.000000000 0.594000000 0.026000000 -0.045000000 -0.012000000
2 44 0.018741886 0.010204080 0.000000000 0.000000000 -3.055305260 -1.567205260 1.000000000 0.597000000 0.011000000 -0.020000000 0.013000000
2 45 0.018741886 0.010204080 0.000000000 0.000000000 -2.854112950 -1.366012950 1.000000000 0.603000000 -0.008000000 0.014000000 -0.216000000
2 46 0.018741886 0.010204080 0.000000000 0.000000000 -2.853718080 -1.365618080 1.000000000 0.603000000 -0.020000000 0.036000000 0.216000000
2 47 0.018741886 0.010204080 0.000000000 0.000000000 -2.676224920 -1.188124920 1.000000000 0.567000000 0.016000000 -0.023000000 -0.134000000
2 48 0.018741886 0.010204080 0.000000000 0.000000000 -2.675485990 -1.187385990 1.000000000 0.569000000 -0.017000000 0.030000000 0.134000000
2 49 0.018741886 0.010204080 0.000000000 0.000000000 -2.575783690 -1.087683690 1.000000000 0.580000000 -0.001000000 -0.002000000 -0.571000000
2 50 0.018741886 0.010204080 0.000000000 0.000000000 -2.575633680 -1.087533680 1.000000000 0.580000000 0.005000000 -0.010000000 0.571000000
2 51 0.018741886 0.010204080 0.000000000 0.000000000 -2.050038150 -0.561938150 1.000000000 0.242000000 0.001000000 0.238000000 0.008000000
2 52 0.018741886 0.010204080 0.000000000 0.000000000 -2.013295660 -0.525195660 1.000000000 0.250000000 -0.001000000 -0.248000000 -0.009000000
2 53 0.018741886 0.010204080 0.000000000 0.000000000 -1.458151260 0.029948740 0.000111430 0.535000000 -0.075000000 0.525000000 0.011000000
2 54 0.018741886 0.010204080 0.000000000 0.000000000 -1.441992770 0.046107230 0.000016720 0.527000000 0.077000000 -0.518000000 -0.011000000
2 55 0.018741886 0.010204080 0.000000000 0.000000000 0.118424450 1.606524450 0.000000000 0.448000000 0.292000000 -0.324000000 0.001000000
2 56 0.018741886 0.010204080 0.000000000 0.000000000 0.121990480 1.610090480 0.000000000 0.446000000 -0.291000000 0.322000000 -0.001000000
2 57 0.018741886 0.010204080 0.000000000 0.000000000 0.689700840 2.177800840 0.000000000 0.155000000 0.039000000 0.148000000 0.007000000
2 58 0.018741886 0.010204080 0.000000000 0.000000000 0.707784420 2.195884420 0.000000000 0.155000000 -0.039000000 -0.148000000 -0.007000000
2 59 0.018741886 0.010204080 0.000000000 0.000000000 1.466900700 2.955000700 0.000000000 0.525000000 -0.023000000 0.045000000 -0.004000000
2 60 0.018741886 0.010204080 0.000000000 0.000000000 1.472045820 2.960145820 0.000000000 0.550000000 0.014000000 -0.025000000 0.005000000
2 61 0.018741886 0.010204080 0.000000000 0.000000000 1.549536930 3.037636930 0.000000000 0.224000000 0.146000000 0.105000000 0.014000000
2 62 0.018741886 0.010204080 0.000000000 0.000000000 1.557955510 3.046055510 0.000000000 0.219000000 -0.128000000 -0.145000000 -0.014000000
2 63 0.018741886 0.010204080 0.000000000 0.000000000 1.758561270 3.246661270 0.000000000 0.533000000 -0.008000000 0.013000000 -0.074000000
2 64 0.018741886 0.010204080 0.000000000 0.000000000 1.758821000 3.246921000 0.000000000 0.534000000 -0.012000000 0.022000000 0.074000000
2 65 0.018741886 0.010204080 0.000000000 0.000000000 1.920566950 3.408666950 0.000000000 0.299000000 -0.059000000 0.273000000 0.005000000
2 66 0.018741886 0.010204080 0.000000000 0.000000000 1.932272490 3.420372490 0.000000000 0.290000000 0.068000000 -0.281000000 -0.005000000
2 67 0.018741886 0.010204080 0.000000000 0.000000000 2.262035170 3.750135170 0.000000000 0.172000000 -0.031000000 0.084000000 0.002000000
2 68 0.018741886 0.010204080 0.000000000 0.000000000 2.279088240 3.767188240 0.000000000 0.112000000 0.035000000 -0.093000000 -0.003000000
2 69 0.018741886 0.010204080 0.000000000 0.000000000 2.309119130 3.797219130 0.000000000 0.500000000 -0.015000000 0.037000000 -0.006000000
2 70 0.018741886 0.010204080 0.000000000 0.000000000 2.319737070 3.807837070 0.000000000 0.432000000 0.020000000 -0.038000000 0.007000000
