distance_Ainv,E1_eV,E2_eV,E3_eV,E4_eV,E1_minus_VBM_eV,E2_minus_VBM_eV,E3_minus_VBM_eV,E4_minus_VBM_eV
1.527840000000000087e+00,-1.374786599999999970e+00,-1.374784299999999959e+00,2.734974900000000098e+00,2.734976300000000027e+00,-7.760825843384316691e+00,-7.760823543384316459e+00,-3.651064343384316402e+00,-3.651062943384316473e+00
1.542390900000000009e+00,-1.367845200000000094e+00,-1.367844199999999955e+00,2.696440799999999971e+00,2.696441399999999877e+00,-7.753884443384317038e+00,-7.753883443384316010e+00,-3.689598443384316528e+00,-3.689597843384316622e+00
1.556941700000000095e+00,-1.361061199999999971e+00,-1.361060699999999901e+00,2.659391499999999908e+00,2.659391799999999861e+00,-7.747100443384316470e+00,-7.747099943384316845e+00,-3.726647743384316591e+00,-3.726647443384316638e+00
1.571492600000000017e+00,-1.354488799999999937e+00,-1.354486899999999938e+00,2.624052100000000110e+00,2.624053099999999805e+00,-7.740528043384315993e+00,-7.740526143384316882e+00,-3.761987143384316390e+00,-3.761986143384316694e+00
1.586043400000000103e+00,-1.348181300000000027e+00,-1.348178199999999993e+00,2.590640000000000054e+00,2.590641699999999936e+00,-7.734220543384316748e+00,-7.734217443384316937e+00,-3.795399243384316446e+00,-3.795397543384316563e+00
1.600594300000000025e+00,-1.342193299999999923e+00,-1.342188799999999960e+00,2.559362399999999926e+00,2.559364799999999995e+00,-7.728232543384316422e+00,-7.728228043384316237e+00,-3.826676843384316573e+00,-3.826674443384316504e+00
1.615145099999999889e+00,-1.336578400000000055e+00,-1.336572700000000058e+00,2.530415300000000034e+00,2.530418300000000009e+00,-7.722617643384316111e+00,-7.722611943384317001e+00,-3.855623943384316465e+00,-3.855620943384316490e+00
1.629696000000000033e+00,-1.331389099999999992e+00,-1.331382099999999902e+00,2.503982300000000105e+00,2.503985999999999823e+00,-7.717428343384316491e+00,-7.717421343384316401e+00,-3.882056943384316394e+00,-3.882053243384316676e+00
1.644246899999999956e+00,-1.326675400000000060e+00,-1.326667199999999935e+00,2.480233000000000132e+00,2.480237300000000200e+00,-7.712714643384316560e+00,-7.712706443384316657e+00,-3.905806243384316367e+00,-3.905801943384316299e+00
1.658797700000000042e+00,-1.322484299999999946e+00,-1.322475000000000067e+00,2.459321599999999997e+00,2.459326400000000135e+00,-7.708523543384316667e+00,-7.708514243384316345e+00,-3.926717643384316503e+00,-3.926712843384316365e+00
1.673348599999999964e+00,-1.318858899999999945e+00,-1.318848599999999927e+00,2.441385100000000197e+00,2.441390499999999797e+00,-7.704898143384316000e+00,-7.704887843384316426e+00,-3.944654143384316303e+00,-3.944648743384316703e+00
1.687899400000000050e+00,-1.315837300000000099e+00,-1.315826099999999999e+00,2.426542400000000210e+00,2.426548400000000161e+00,-7.701876543384316598e+00,-7.701865343384316276e+00,-3.959496843384316289e+00,-3.959490843384316339e+00
1.702450299999999972e+00,-1.313452000000000064e+00,-1.313439999999999941e+00,2.414892800000000062e+00,2.414899399999999918e+00,-7.699491243384316341e+00,-7.699479243384316440e+00,-3.971146443384316438e+00,-3.971139843384316581e+00
