q_index,qx,qy,qz,star_weight,sigma_Ry,mode,frequency_THz,frequency_cm1,lambda_mode,gamma_GHz,DOS_EF_states_spin_Ry_cell,EF_eV
7,0.0,-0.7071068,0.0,3,0.015,1,6.357109,212.050339,0.1328,13.56,2.647439,8.379158
7,0.0,-0.7071068,0.0,3,0.015,2,6.357109,212.050339,0.1403,14.34,2.647439,8.379158
7,0.0,-0.7071068,0.0,3,0.015,3,9.841475,328.276276,0.1334,32.67,2.647439,8.379158
7,0.0,-0.7071068,0.0,3,0.02,1,6.357109,212.050339,0.123,12.56,2.646097,8.379914
7,0.0,-0.7071068,0.0,3,0.02,2,6.357109,212.050339,0.129,13.17,2.646097,8.379914
7,0.0,-0.7071068,0.0,3,0.02,3,9.841475,328.276276,0.1385,33.9,2.646097,8.379914
7,0.0,-0.7071068,0.0,3,0.025,1,6.357109,212.050339,0.1158,11.82,2.643523,8.379582
7,0.0,-0.7071068,0.0,3,0.025,2,6.357109,212.050339,0.121,12.35,2.643523,8.379582
7,0.0,-0.7071068,0.0,3,0.025,3,9.841475,328.276276,0.1412,34.53,2.643523,8.379582
7,0.0,-0.7071068,0.0,3,0.03,1,6.357109,212.050339,0.1115,11.37,2.643829,8.37839
7,0.0,-0.7071068,0.0,3,0.03,2,6.357109,212.050339,0.1159,11.82,2.643829,8.37839
7,0.0,-0.7071068,0.0,3,0.03,3,9.841475,328.276276,0.1417,34.64,2.643829,8.37839
7,0.0,-0.7071068,0.0,3,0.035,1,6.357109,212.050339,0.1092,11.15,2.645823,8.376691
7,0.0,-0.7071068,0.0,3,0.035,2,6.357109,212.050339,0.1129,11.53,2.645823,8.376691
7,0.0,-0.7071068,0.0,3,0.035,3,9.841475,328.276276,0.1417,34.67,2.645823,8.376691
7,0.0,-0.7071068,0.0,3,0.04,1,6.357109,212.050339,0.1079,11.03,2.648339,8.374776
7,0.0,-0.7071068,0.0,3,0.04,2,6.357109,212.050339,0.1111,11.36,2.648339,8.374776
7,0.0,-0.7071068,0.0,3,0.04,3,9.841475,328.276276,0.1419,34.77,2.648339,8.374776
7,0.0,-0.7071068,0.0,3,0.045,1,6.357109,212.050339,0.107,10.94,2.650827,8.372817
7,0.0,-0.7071068,0.0,3,0.045,2,6.357109,212.050339,0.1097,11.22,2.650827,8.372817
7,0.0,-0.7071068,0.0,3,0.045,3,9.841475,328.276276,0.1425,34.94,2.650827,8.372817
7,0.0,-0.7071068,0.0,3,0.05,1,6.357109,212.050339,0.1062,10.87,2.653067,8.370889
7,0.0,-0.7071068,0.0,3,0.05,2,6.357109,212.050339,0.1085,11.11,2.653067,8.370889
7,0.0,-0.7071068,0.0,3,0.05,3,9.841475,328.276276,0.1433,35.17,2.653067,8.370889
8,-0.3535534,-0.7071068,0.0,6,0.005,1,6.886222,229.699642,0.0795,9.06,2.518161,8.37364
8,-0.3535534,-0.7071068,0.0,6,0.005,2,8.438269,281.470352,0.241,41.27,2.518161,8.37364
8,-0.3535534,-0.7071068,0.0,6,0.005,3,8.438269,281.470352,0.241,41.27,2.518161,8.37364
8,-0.3535534,-0.7071068,0.0,6,0.01,1,6.886222,229.699642,0.0793,9.43,2.624685,8.377216
8,-0.3535534,-0.7071068,0.0,6,0.01,2,8.438269,281.470352,0.2121,37.85,2.624685,8.377216
8,-0.3535534,-0.7071068,0.0,6,0.01,3,8.438269,281.470352,0.2121,37.85,2.624685,8.377216
8,-0.3535534,-0.7071068,0.0,6,0.015,1,6.886222,229.699642,0.0799,9.57,2.647439,8.379158
8,-0.3535534,-0.7071068,0.0,6,0.015,2,8.438269,281.470352,0.2051,36.92,2.647439,8.379158
8,-0.3535534,-0.7071068,0.0,6,0.015,3,8.438269,281.470352,0.2051,36.92,2.647439,8.379158
8,-0.3535534,-0.7071068,0.0,6,0.02,1,6.886222,229.699642,0.0811,9.71,2.646097,8.379914
8,-0.3535534,-0.7071068,0.0,6,0.02,2,8.438269,281.470352,0.1976,35.56,2.646097,8.379914
8,-0.3535534,-0.7071068,0.0,6,0.02,3,8.438269,281.470352,0.1976,35.56,2.646097,8.379914
8,-0.3535534,-0.7071068,0.0,6,0.025,1,6.886222,229.699642,0.0807,9.66,2.643523,8.379582
8,-0.3535534,-0.7071068,0.0,6,0.025,2,8.438269,281.470352,0.1887,33.93,2.643523,8.379582
8,-0.3535534,-0.7071068,0.0,6,0.025,3,8.438269,281.470352,0.1887,33.92,2.643523,8.379582
8,-0.3535534,-0.7071068,0.0,6,0.03,1,6.886222,229.699642,0.0797,9.54,2.643829,8.37839
8,-0.3535534,-0.7071068,0.0,6,0.03,2,8.438269,281.470352,0.1815,32.62,2.643829,8.37839
8,-0.3535534,-0.7071068,0.0,6,0.03,3,8.438269,281.470352,0.1814,32.62,2.643829,8.37839
8,-0.3535534,-0.7071068,0.0,6,0.035,1,6.886222,229.699642,0.0786,9.42,2.645823,8.376691
8,-0.3535534,-0.7071068,0.0,6,0.035,2,8.438269,281.470352,0.1763,31.71,2.645823,8.376691
8,-0.3535534,-0.7071068,0.0,6,0.035,3,8.438269,281.470352,0.1763,31.71,2.645823,8.376691
8,-0.3535534,-0.7071068,0.0,6,0.04,1,6.886222,229.699642,0.0778,9.34,2.648339,8.374776
8,-0.3535534,-0.7071068,0.0,6,0.04,2,8.438269,281.470352,0.1727,31.1,2.648339,8.374776
8,-0.3535534,-0.7071068,0.0,6,0.04,3,8.438269,281.470352,0.1727,31.1,2.648339,8.374776
8,-0.3535534,-0.7071068,0.0,6,0.045,1,6.886222,229.699642,0.0773,9.28,2.650827,8.372817
8,-0.3535534,-0.7071068,0.0,6,0.045,2,8.438269,281.470352,0.1703,30.69,2.650827,8.372817
8,-0.3535534,-0.7071068,0.0,6,0.045,3,8.438269,281.470352,0.1703,30.69,2.650827,8.372817
8,-0.3535534,-0.7071068,0.0,6,0.05,1,6.886222,229.699642,0.077,9.24,2.653067,8.370889
8,-0.3535534,-0.7071068,0.0,6,0.05,2,8.438269,281.470352,0.1685,30.39,2.653067,8.370889
8,-0.3535534,-0.7071068,0.0,6,0.05,3,8.438269,281.470352,0.1684,30.39,2.653067,8.370889
